course_code,course_time,course_instructors,course_enrollment,course_capacity
EECS 548,Mo1:00PM-2:30PM,"['Adar, Eytan']",48,50
EECS 549,Tu4:00PM-6:00PM,"['Jurgens, David']",84,150
EECS 550,TuTh4:00PM-5:30PM,"['Pradhan, S Sandeep']",38,48
EECS 551,TuTh9:00AM-10:30AM,"['Fessler, Jeffrey A']",130,60
EECS 552,MoWe5:00PM-6:30PM,"['Islam, Mohammed Nazrul']",6,25
EECS 554,MoWe1:30PM-3:00PM,"['Mahdavifar, Hessam']",38,48
EECS 558,TuTh10:30AM-12:00PM,"['Anastasopoulos, Achilleas']",13,50
EECS 560,MoWeFr4:30PM-5:30PM,"['Gillespie, Brent']",124,145
EECS 571,MoWe10:30AM-12:00PMFr10:30AM-11:30AM,"['Pese, Mert Dieter', 'Shin, Kang Geun']",27,45
EECS 571,MoWe10:30AM-12:00PMFr10:30AM-11:30AM,"['Shin, Kang Geun']",0,0
EECS 573,MoWe9:00AM-10:30AM,"['Austin, Todd M', 'McCrabb, Andrew']",39,50
EECS 573,MoWe9:00AM-10:30AM,"['Austin, Todd M']",0,0
EECS 574,MoWe3:00PM-4:30PM,"['Cheraghchi, Mahdi']",64,75
EECS 575,MoWe9:00AM-10:30AM,"['Grubbs, Paul']",35,62
EECS 582,MoWe3:00PM-4:30PMFr3:00PM-4:00PM,"['Kasikci, Baris', 'Ma, Jiacheng']",33,1
EECS 583,MoWe10:30AM-12:30PM,"['Mahlke, Scott', 'Pan, Yunjie', 'Zhang, Ze']",91,1
EECS 587,TuTh12:00PM-1:30PM,"['Stout, Quentin F']",44,80
EECS 591,MoWe12:00PM-1:30PM,"['Kapritsos, Manos', 'Zhang, Tony']",21,1
EECS 591,MoWe12:00PM-1:30PM,"['Kapritsos, Manos']",0,0
EECS 592,MoWe9:00AM-10:30AMFr9:00AM-10:00AM,"['Li, Zun', 'Wang, Lu']",56,78
EECS 595,We1:30PM-3:00PMFr3:00PM-4:30PM,"['Chai, Joyce', 'Storks, Shane', 'Yu, Keunwoo']",106,1
EECS 598,MoWe10:30AM-12:00PM,"['Sample, Alanson', 'Su, Yang Hsi']",21,25
