,title,link,class_name,type,credits,seat_capacity,filled_seats
109,CS 1371 Recitation - 94864 - CS 1371R - D04,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=94864,CS 1371,Recitation,0.000,50,12
110,CS 1371 Recitation - 93597 - CS 1371R - GR1,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93597,CS 1371,Recitation,0.000,5,0
111,CS 1371 Recitation - 93598 - CS 1371R - HP1,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93598,CS 1371,Recitation,0.000,35,30
112,Intro Discrete Math CS - 84143 - CS 2050 - A,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=84143,CS 2050,Lecture,3.000,220,219
113,Intro Discrete Math CS - 84144 - CS 2050 - B,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=84144,CS 2050,Lecture,3.000,220,220
114,Intro Discrete Math CS - 93369 - CS 2050 - GR,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93369,CS 2050,Lecture,3.000,1,1
115,CS 2050 Recitation - 93601 - CS 2050R - A01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93601,CS 2050,Recitation,0.000,50,49
116,CS 2050 Recitation - 93603 - CS 2050R - A02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93603,CS 2050,Recitation,0.000,50,28
117,CS 2050 Recitation - 93604 - CS 2050R - A03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93604,CS 2050,Recitation,0.000,50,45
118,CS 2050 Recitation - 93605 - CS 2050R - A04,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93605,CS 2050,Recitation,0.000,50,40
119,CS 2050 Recitation - 95107 - CS 2050R - A05,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=95107,CS 2050,Recitation,0.000,50,26
