,class_title,class_code,link,class_size
119,Computer Animation,COMP SCI 777,https://madgrades.com/courses/61184144-cb27-3209-8123-57cfa93b1d9f?termCode=1222&instructorId=0,0
120,Adv Cmpr Sec & Prvcy,COMP SCI/E C E 782,https://madgrades.com/courses/11f51b0c-b481-3c93-95b0-1a5433f5054e?termCode=1222&instructorId=0,15
121,Foundations of Data Management,COMP SCI 784,https://madgrades.com/courses/ccd001b6-7aa5-30e4-9cbf-c9c5978083c1?termCode=1222&instructorId=0,0
122,Advanced Algorithms,COMP SCI 787,https://madgrades.com/courses/e15aee56-d421-3b05-b6be-098392da0212?termCode=1222&instructorId=0,0
123,Master's Thesis,COMP SCI 790,https://madgrades.com/courses/f9b33bc6-2031-355d-87b2-3a08f47a6218?termCode=1222&instructorId=0,0
124,Master's Research,COMP SCI 799,https://madgrades.com/courses/b449ca50-68f6-37eb-bcf5-9db206b6cc34?termCode=1222&instructorId=0,0
125,Math Tech-Analys of Algrthm,COMP SCI 809,https://madgrades.com/courses/83394ab9-fd80-389b-a85a-7f0e06ea5875?termCode=1222&instructorId=0,0
126,Models&Formalisms-Computatn,COMP SCI 810,https://madgrades.com/courses/39fb32fe-8e6a-33c5-84aa-fc41670646ea?termCode=1222&instructorId=0,0
127,Arithmetic Algorithms,COMP SCI 812,https://madgrades.com/courses/863c4744-61d9-3ea2-9fd3-3c346bc4a303?termCode=1222&instructorId=0,0
128,Topics-Numerical Analysis,COMP SCI/MATH 837,https://madgrades.com/courses/bee6dcb9-1748-369f-9038-97c413ea93b8?termCode=1222&instructorId=0,0
129,Topics in Computing,COMP SCI 838,https://madgrades.com/courses/c5bbc1b2-f399-34a9-b698-18fa4c30b44e?termCode=1222&instructorId=0,0
130,Core Topics in Computing,COMP SCI 839,https://madgrades.com/courses/d6ef5b4f-afe9-34ff-aba1-f8d8a067d56d?termCode=1222&instructorId=0,35
131,Computational Cognitive Science,B M I/COMP SCI/PSYCH 841,https://madgrades.com/courses/c044e50b-d241-3d44-bbb9-5992c5d4d304?termCode=1222&instructorId=0,0
132,Theoretical Foundations of Machine Learning,COMP SCI/E C E/STAT 861,https://madgrades.com/courses/e643cfcb-547c-307e-847d-4cf9d92b68a8?termCode=1222&instructorId=0,27
133,Topics in Theoretical Computer Science,COMP SCI 880,https://madgrades.com/courses/3dcfe4b7-9340-3520-8562-54ba2f5d852f?termCode=1222&instructorId=0,8
134,Pre-Dissertator Research,COMP SCI 899,https://madgrades.com/courses/45e9baba-56cc-38d9-baab-cd9dcb50c418?termCode=1222&instructorId=0,0
135,Advanced Seminar in Computer Science,COMP SCI 900,https://madgrades.com/courses/49b3f94c-0e2b-39f5-9187-490480dd688a?termCode=1222&instructorId=0,48
136,Computation and Informatics in Biology and Medicine,BIOCHEM/B M E/B M I/CBE/COMP SCI/GENETICS 915,https://madgrades.com/courses/2bf0b698-2ed7-33f9-858f-18f386e3ddda?termCode=1222&instructorId=0,3
137,Dissertation,COMP SCI 990,https://madgrades.com/courses/ad9aceff-7389-3b9e-bbef-5140d7cf20a4?termCode=1222&instructorId=0,0
138,Dissertator Research,COMP SCI 999,https://madgrades.com/courses/231ceaf1-56a3-3580-a731-60fd926bb0d8?termCode=1222&instructorId=0,0
